"Base Gene ID","Manuscript Gene ID","Manuscript Transcript ID","Genome Portal Gene ID","Genome Portal Transcript ID"
"G011702","HVAEP1_G011702","HVAEP1_T011702.3","HVAEP6.G011702","HVAEP6.T011702.3"
"G011703","HVAEP1_G011703","HVAEP1_T011703.1","HVAEP6.G011703","HVAEP6.T011703.1"
"G011704","HVAEP1_G011704","HVAEP1_T011704.1","HVAEP6.G011704","HVAEP6.T011704.1"
"G011705","HVAEP1_G011705","HVAEP1_T011705.1","HVAEP6.G011705","HVAEP6.T011705.1"
"G011706","HVAEP1_G011706","HVAEP1_T011706.1","HVAEP6.G011706","HVAEP6.T011706.1"
"G011707","HVAEP1_G011707","HVAEP1_T011707.1","HVAEP6.G011707","HVAEP6.T011707.1"
"G011708","HVAEP1_G011708","HVAEP1_T011708.1","HVAEP6.G011708","HVAEP6.T011708.1"
"G011709","HVAEP1_G011709","HVAEP1_T011709.1","HVAEP6.G011709","HVAEP6.T011709.1"
"G011710","HVAEP1_G011710","HVAEP1_T011710.1","HVAEP6.G011710","HVAEP6.T011710.1"
"G011711","HVAEP1_G011711","HVAEP1_T011711.1","HVAEP6.G011711","HVAEP6.T011711.1"
"G011712","HVAEP1_G011712","HVAEP1_T011712.1","HVAEP6.G011712","HVAEP6.T011712.1"
"G011713","HVAEP1_G011713","HVAEP1_T011713.1","HVAEP6.G011713","HVAEP6.T011713.1"
"G011714","HVAEP1_G011714","HVAEP1_T011714.1","HVAEP6.G011714","HVAEP6.T011714.1"
"G011714","HVAEP1_G011714","HVAEP1_T011714.2","HVAEP6.G011714","HVAEP6.T011714.2"
"G011715","HVAEP1_G011715","HVAEP1_T011715.1","HVAEP6.G011715","HVAEP6.T011715.1"
"G011716","HVAEP1_G011716","HVAEP1_T011716.1","HVAEP6.G011716","HVAEP6.T011716.1"
"G011717","HVAEP1_G011717","HVAEP1_T011717.1","HVAEP6.G011717","HVAEP6.T011717.1"
"G011718","HVAEP1_G011718","HVAEP1_T011718.1","HVAEP6.G011718","HVAEP6.T011718.1"
"G011719","HVAEP1_G011719","HVAEP1_T011719.1","HVAEP6.G011719","HVAEP6.T011719.1"
"G011720","HVAEP1_G011720","HVAEP1_T011720.1","HVAEP6.G011720","HVAEP6.T011720.1"
"G011720","HVAEP1_G011720","HVAEP1_T011720.2","HVAEP6.G011720","HVAEP6.T011720.2"
"G011721","HVAEP1_G011721","HVAEP1_T011721.1","HVAEP6.G011721","HVAEP6.T011721.1"
"G011722","HVAEP1_G011722","HVAEP1_T011722.1","HVAEP6.G011722","HVAEP6.T011722.1"
"G011723","HVAEP1_G011723","HVAEP1_T011723.1","HVAEP6.G011723","HVAEP6.T011723.1"
"G011723","HVAEP1_G011723","HVAEP1_T011723.2","HVAEP6.G011723","HVAEP6.T011723.2"
"G011724","HVAEP1_G011724","HVAEP1_T011724.1","HVAEP6.G011724","HVAEP6.T011724.1"
"G011725","HVAEP1_G011725","HVAEP1_T011725.1","HVAEP6.G011725","HVAEP6.T011725.1"
"G011726","HVAEP1_G011726","HVAEP1_T011726.1","HVAEP6.G011726","HVAEP6.T011726.1"
"G011727","HVAEP1_G011727","HVAEP1_T011727.1","HVAEP6.G011727","HVAEP6.T011727.1"
"G011728","HVAEP1_G011728","HVAEP1_T011728.1","HVAEP6.G011728","HVAEP6.T011728.1"
"G011729","HVAEP1_G011729","HVAEP1_T011729.1","HVAEP6.G011729","HVAEP6.T011729.1"
"G011730","HVAEP1_G011730","HVAEP1_T011730.1","HVAEP6.G011730","HVAEP6.T011730.1"
"G011731","HVAEP1_G011731","HVAEP1_T011731.1","HVAEP6.G011731","HVAEP6.T011731.1"
"G011732","HVAEP1_G011732","HVAEP1_T011732.1","HVAEP6.G011732","HVAEP6.T011732.1"
"G011733","HVAEP1_G011733","HVAEP1_T011733.1","HVAEP6.G011733","HVAEP6.T011733.1"
"G011733","HVAEP1_G011733","HVAEP1_T011733.2","HVAEP6.G011733","HVAEP6.T011733.2"
"G011733","HVAEP1_G011733","HVAEP1_T011733.3","HVAEP6.G011733","HVAEP6.T011733.3"
"G011734","HVAEP1_G011734","HVAEP1_T011734.1","HVAEP6.G011734","HVAEP6.T011734.1"
"G011735","HVAEP1_G011735","HVAEP1_T011735.1","HVAEP6.G011735","HVAEP6.T011735.1"
