"","ID","clust","jID","enClust","bClust"
"SPI1_MA0080.5","SPI1_MA0080.5",24,"MA0080.5",22,"24_22"
"SPIB_MA0081.2","SPIB_MA0081.2",24,"MA0081.2",29,"24_29"
"SRF_MA0083.3","SRF_MA0083.3",137,"MA0083.3",4,"137_4"
"SRY_MA0084.1","SRY_MA0084.1",19,"MA0084.1",1,"19_1"
"sna_MA0086.2","sna_MA0086.2",46,"MA0086.2",19,"46_19"
"TAL1::TCF3_MA0091.1","TAL1::TCF3_MA0091.1",53,"MA0091.1",19,"53_19"
"Hand1::Tcf3_MA0092.1","Hand1::Tcf3_MA0092.1",30,"MA0092.1",30,"30_30"
"YY1_MA0095.2","YY1_MA0095.2",43,"MA0095.2",2,"43_2"
"ETS1_MA0098.3","ETS1_MA0098.3",24,"MA0098.3",10,"24_10"
"FOS::JUN_MA0099.3","FOS::JUN_MA0099.3",16,"MA0099.3",31,"16_31"
"MYB_MA0100.3","MYB_MA0100.3",46,"MA0100.3",32,"46_32"
"REL_MA0101.1","REL_MA0101.1",21,"MA0101.1",22,"21_22"
"CEBPA_MA0102.4","CEBPA_MA0102.4",42,"MA0102.4",33,"42_33"
"ZEB1_MA0103.3","ZEB1_MA0103.3",46,"MA0103.3",19,"46_19"
"MYCN_MA0104.4","MYCN_MA0104.4",28,"MA0104.4",2,"28_2"
"NFKB1_MA0105.4","NFKB1_MA0105.4",107,"MA0105.4",1,"107_1"
"TP53_MA0106.3","TP53_MA0106.3",144,"MA0106.3",34,"144_34"
"RELA_MA0107.1","RELA_MA0107.1",21,"MA0107.1",22,"21_22"
"TBP_MA0108.2","TBP_MA0108.2",14,"MA0108.2",35,"14_35"
"HLTF_MA0109.1","HLTF_MA0109.1",94,"MA0109.1",36,"94_36"
"Spz1_MA0111.1","Spz1_MA0111.1",135,"MA0111.1",1,"135_1"
"HNF4A_MA0114.4","HNF4A_MA0114.4",51,"MA0114.4",37,"51_37"
"Znf423_MA0116.1","Znf423_MA0116.1",169,"MA0116.1",1,"169_1"
"NFIC::TLX1_MA0119.1","NFIC::TLX1_MA0119.1",110,"MA0119.1",38,"110_38"
"Nkx3-2_MA0122.3","Nkx3-2_MA0122.3",4,"MA0122.3",39,"4_39"
"Nkx3-1_MA0124.2","Nkx3-1_MA0124.2",4,"MA0124.2",39,"4_39"
"Nobox_MA0125.1","Nobox_MA0125.1",1,"MA0125.1",4,"1_4"
