"","Interstitial SCs","Female Germ Cells","Male Germ Cells","Early NBs","Early/Mid NBs","Isorhiza NBs 1","Isorhiza NBs 2","Early Desmoneme NBs","Mid/Late Desmoneme NBs","Late Desmoneme NBs","Mid Stenotele NBs","Mid/Late Stenotele NBs","Late Stenotele NBs","Early Maturing NCs","Late Iso NCs","Mid Nematocytes","Mid Desmoneme NCs","Late Desmoneme NCs","Late Stenotele NCs","Neurogenesis","Ec1 Neurons","Ec1/5 Neurons","Ec2 Neurons","Ec3 Neurons","Ec4 Neurons","Ec5 Neurons","En1 Neurons","En2 Neurons","En3 Neurons","Mucous GCs","Granular Mucous GCs Tip","Granular Mucous GCs","Zymogen GCs 1","Zymogen GCs 2","Zymogen GCs 3","Zymogen GCs 4","Spumous Mucous GCs Tip","Spumous Mucous GCs","Ecto Basal Disk","Ecto Aboral SCs","Ecto SCs 1","Ecto SCs 2","Ecto Somatic Gonad","Ecto Head","Ecto Tentacle","Ecto Tentacle Tip","Epithelial Head Organizer","Endo Foot","Endo Mid SCs","Endo SCs","Endo Head","Endo Tentacle","Endo Tentacle Tip"
"MA1622.1 Smad2::Smad3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668681102784055,0,0,0,0,0,0,0,0,0,0,0,0
"MA1654.1 ZNF16",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0528.2 ZNF263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1655.1 ZNF341",0,0,0,0,0,0,0,0,0.823046283955545,0,0,0,0,0,0,0,0,0,0,0.945763965687769,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0531.1 CTCF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0139.1 CTCF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730032138416754,0,0,0,0,0,0,0,0,0
"MA0867.2 SOX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361597282521976,0,0,0,0,0,0
"MA1152.1 SOX15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995700103078548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937452054397846,0.397447910685756,0.359208718988425,0.394329325442408,0,0,0,0,0,0
"MA0442.2 SOX10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824350900954058,0,0.826952813677775,1,0,0,0,0,0.965792736626177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670814155025464,0,0,0,0,0,0
"MA0445.1 D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855128414682835,0,0.880520013630309,0,0,1,0.968508441791237,0.965660070931867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671057431049974,0,0,0,0,0,0
"MA0774.1 MEIS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.984695233383532,0.918588841340367,0.973359553175535,0
