"","Interstitial SCs","Female Germ Cells","Male Germ Cells","Early NBs","Early/Mid NBs","Isorhiza NBs 1","Isorhiza NBs 2","Early Desmoneme NBs","Mid/Late Desmoneme NBs","Late Desmoneme NBs","Mid Stenotele NBs","Mid/Late Stenotele NBs","Late Stenotele NBs","Early Maturing NCs","Late Iso NCs","Mid Nematocytes","Mid Desmoneme NCs","Late Desmoneme NCs","Late Stenotele NCs","Neurogenesis","Ec1 Neurons","Ec1/5 Neurons","Ec2 Neurons","Ec3 Neurons","Ec4 Neurons","Ec5 Neurons","En1 Neurons","En2 Neurons","En3 Neurons","Mucous GCs","Granular Mucous GCs Tip","Granular Mucous GCs","Zymogen GCs 1","Zymogen GCs 2","Zymogen GCs 3","Zymogen GCs 4","Spumous Mucous GCs Tip","Spumous Mucous GCs","Ecto Basal Disk","Ecto Aboral SCs","Ecto SCs 1","Ecto SCs 2","Ecto Somatic Gonad","Ecto Head","Ecto Tentacle","Ecto Tentacle Tip","Epithelial Head Organizer","Endo Foot","Endo Mid SCs","Endo SCs","Endo Head","Endo Tentacle","Endo Tentacle Tip"
"MA0480.1 Foxo1",0,0,0,0,0,0,0,0,0.965691673210449,1,0,0,0.992662844157976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0481.3 FOXP1",0,0,0,0,0,0,0,0,0,0,0,0,0.726737072292148,0.793352363298739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915670314622357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.712303006713455,0.691826082559815,0.699297609899284,0.692222846703033
"MA0486.2 HSF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944959034568691,0,0,0,0,0,0,0,0,1,0,0,0
"MA0488.1 JUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95383171085235,0,0.910380590694956,0,0,1,0,0.913908761446534,0.936982988677833,0,0,0,0,0,0.953907107587536
"MA0489.1 JUN(var.2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912021527574906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.627885584012923,0,0.702273170799408,0.725057821777723,0,0.580092865188976,0,0,0,0,0,0,0
"MA0490.2 JUNB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996221047805976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.670915204890318,0,0.780495580136678,0.781885681491379,0,0.654841606505869,0,0,0,0,0,0,0
"MA0491.2 JUND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949153998505259,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0492.1 JUND(var.2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.999354287667584,0.99864159962377,0,0,0,0,0,0
"MA0493.1 Klf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878053432670277,0.875815168363926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.655828993278199,0,0,0.722730430677297,0.65555720017959,0,0.622108552265029,0,0,0,0.608955708963935,0.713107840803705,0
"MA0499.2 MYOD1",0,0,0,0,0,0,0,0,0.557257638792304,0.599222679561229,0,0,0.576285218405223,0.752855665925609,0,0,0,0,0,0.760287910951556,0.665325700349889,0.726253571627451,1,0.84760959044839,0.855140893350707,0.792634407053474,0.848287591198388,0.882565996633676,0.796110854505271,0,0,0.740222051918211,0,0,0.874112950423201,0,0.75168757359154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
