g18385	g18385.t1
g18386	g18386.t1
g18387	g18387.t1
g18388	g18388.t1
g18389	g18389.t1
g18389	g18389.t2
g18390	g18390.t1
g18391	g18391.t1
g18392	g18392.t1
g18393	g18393.t1
g18394	g18394.t1
g18395	g18395.t1
g18396	g18396.t1
g18397	g18397.t1
g18397	g18397.t2
g18398	g18398.t1
g18399	g18399.t1
g18400	g18400.t1
g18401	g18401.t1
g18402	g18402.t1
g25335	g25335.t1
g25336	g25336.t1
g25337	g25337.t1
g25338	g25338.t1
g25339	g25339.t1
g25340	g25340.t1
g25341	g25341.t1
g25342	g25342.t1
g25343	g25343.t1
g25344	g25344.t1
g25345	g25345.t1
g25346	g25346.t1
g25347	g25347.t1
g25348	g25348.t1
g25349	g25349.t1
g25350	g25350.t1
g25351	g25351.t1
g10309	g10309.t1
g10310	g10310.t1
g10311	g10311.t1
g10312	g10312.t1
g10313	g10313.t1
g10314	g10314.t1
g10315	g10315.t1
g10316	g10316.t1
g10317	g10317.t1
g10318	g10318.t1
g10319	g10319.t1
g10320	g10320.t1
g10321	g10321.t1
g10321	g10321.t2
g10321	g10321.t3
g10322	g10322.t1
g10322	g10322.t2
g10323	g10323.t1
g10324	g10324.t1
g10324	g10324.t2
g10325	g10325.t1
g10326	g10326.t1
g10327	g10327.t1
g10328	g10328.t1
g10329	g10329.t1
g10330	g10330.t1
g10331	g10331.t1
g10332	g10332.t1
g10333	g10333.t1
g10334	g10334.t1
g10335	g10335.t1
g10336	g10336.t1
g10337	g10337.t1
g10338	g10338.t1
g10339	g10339.t1
g10340	g10340.t1
g10341	g10341.t1
g10342	g10342.t1
g10343	g10343.t1
g10344	g10344.t1
g10345	g10345.t1
g10346	g10346.t1
g10347	g10347.t1
g10348	g10348.t1
g10349	g10349.t1
g10350	g10350.t1
g10351	g10351.t1
g10352	g10352.t1
g10353	g10353.t1
g10354	g10354.t1
g10355	g10355.t1
g10356	g10356.t1
g10357	g10357.t1
g10358	g10358.t1
g10359	g10359.t1
g10360	g10360.t1
g10361	g10361.t1
g10362	g10362.t1
g10363	g10363.t1
g10364	g10364.t1
g10365	g10365.t1
g10366	g10366.t1
g10367	g10367.t1
g10368	g10368.t1
g10368	g10368.t2
g10369	g10369.t1
g10370	g10370.t1
g10371	g10371.t1
g10372	g10372.t1
g10373	g10373.t1
g10374	g10374.t1
g10375	g10375.t1
g10376	g10376.t1
g10377	g10377.t1
g10378	g10378.t1
g10379	g10379.t1
g10380	g10380.t1
g10381	g10381.t1
g10382	g10382.t1
g10383	g10383.t1
g10384	g10384.t1
g26779	g26779.t1
g26780	g26780.t1
g14817	g14817.t1
g14818	g14818.t1
g14819	g14819.t1
g14820	g14820.t1
g14821	g14821.t1
g14822	g14822.t1
g14823	g14823.t1
g14824	g14824.t1
g14825	g14825.t1
g14826	g14826.t1
g14827	g14827.t1
g14828	g14828.t1
g7961	g7961.t1
g7962	g7962.t1
g7963	g7963.t1
g7964	g7964.t1
g7965	g7965.t1
g7966	g7966.t1
g7967	g7967.t1
g7968	g7968.t1
g7969	g7969.t1
g7970	g7970.t1
g7971	g7971.t1
g7971	g7971.t2
g7972	g7972.t1
g7973	g7973.t1
g7974	g7974.t1
g7975	g7975.t1
g7976	g7976.t1
g7977	g7977.t1
g7978	g7978.t1
g7978	g7978.t2
g7979	g7979.t1
g7980	g7980.t1
g7981	g7981.t1
g7982	g7982.t1
g7983	g7983.t1
g7984	g7984.t1
g7985	g7985.t1
g7986	g7986.t1
g7987	g7987.t1
g7988	g7988.t1
g7988	g7988.t2
g7988	g7988.t3
g7989	g7989.t1
g7990	g7990.t1
g7991	g7991.t1
g7992	g7992.t1
g7993	g7993.t1
g7993	g7993.t2
g7994	g7994.t1
g7995	g7995.t1
g7996	g7996.t1
g7997	g7997.t1
g7998	g7998.t1
g7999	g7999.t1
g8000	g8000.t1
g8001	g8001.t1
g8002	g8002.t1
g8003	g8003.t1
g8004	g8004.t1
g8005	g8005.t1
g8006	g8006.t1
g24950	g24950.t1
g24951	g24951.t1
g24951	g24951.t2
g24952	g24952.t1
g24953	g24953.t1
g24954	g24954.t1
g24955	g24955.t1
g24956	g24956.t1
g24957	g24957.t1
g24958	g24958.t1
g24959	g24959.t1
