"","ID","clust"
"atf-7_MA1438.1","atf-7_MA1438.1",58
"blmp-1_MA0537.1","blmp-1_MA0537.1",59
"cebp-1_MA1444.1","cebp-1_MA1444.1",60
"ceh-10::ttx-3_MA0263.1","ceh-10::ttx-3_MA0263.1",61
"ceh-22_MA0264.1","ceh-22_MA0264.1",4
"ceh-28_MA1445.1","ceh-28_MA1445.1",6
"ceh-38_MA1699.1","ceh-38_MA1699.1",6
"ceh-48_MA0921.1","ceh-48_MA0921.1",6
"ces-2_MA0922.1","ces-2_MA0922.1",27
"che-1_MA0260.1","che-1_MA0260.1",62
"daf-12_MA0538.1","daf-12_MA0538.1",63
"daf-16_MA1446.1","daf-16_MA1446.1",3
"dpy-27_MA0540.1","dpy-27_MA0540.1",64
